epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.937,2.30249,8.87752,3.12363,0.32957,0.29727,0.26434,0.11475,3.92512,21.2095,5.67061,0.000660767,0.000660767,0.000660767
2,62.8004,2.7186,3.24854,3.39243,0.59318,0.39535,0.36172,0.20507,3.75921,6.71464,5.07989,0.00131867,0.00131867,0.00131867
3,93.7016,2.62683,3.12951,3.32974,0.59702,0.40698,0.40182,0.211,3.40198,8.5482,4.69033,0.00196778,0.00196778,0.00196778
4,124.312,2.45438,2.96856,3.21362,0.4303,0.38372,0.38344,0.23863,3.04016,8.05046,4.03745,0.0019604,0.0019604,0.0019604
5,155.122,2.40917,2.88389,3.16204,0.64651,0.43023,0.47673,0.28307,2.89669,4.23469,3.98025,0.0019472,0.0019472,0.0019472
6,185.732,2.34127,2.81279,3.11752,0.78264,0.52326,0.59755,0.38575,2.75996,3.39413,3.84685,0.001934,0.001934,0.001934
7,216.517,2.22128,2.57923,3.03145,0.67595,0.54651,0.57748,0.36679,2.65142,4.00275,3.83112,0.0019208,0.0019208,0.0019208
8,246.679,2.15754,2.50825,2.95884,0.69111,0.5,0.53428,0.30325,2.9682,3.58392,4.6772,0.0019076,0.0019076,0.0019076
9,276.616,2.1519,2.50136,2.96579,0.66445,0.53488,0.56444,0.37311,2.68709,3.21772,3.62744,0.0018944,0.0018944,0.0018944
10,306.312,2.09918,2.44467,2.92047,0.81493,0.47674,0.60318,0.40066,2.5114,3.12809,3.67066,0.0018812,0.0018812,0.0018812
11,337.11,1.99148,2.25583,2.86826,0.77752,0.52832,0.62984,0.42591,2.43957,2.97493,3.62856,0.001868,0.001868,0.001868
12,367.724,2.01286,2.29102,2.8686,0.75677,0.5789,0.64245,0.46178,2.1683,3.2185,3.18209,0.0018548,0.0018548,0.0018548
13,398.147,1.95548,2.3013,2.82085,0.8641,0.59151,0.67874,0.47198,2.31837,2.78318,3.28839,0.0018416,0.0018416,0.0018416
14,428.439,1.94768,2.18048,2.82561,0.88917,0.47674,0.63907,0.45475,2.28858,2.81136,3.31804,0.0018284,0.0018284,0.0018284
15,24.1705,1.96924,2.36221,2.83078,0.68272,0.48837,0.61875,0.38735,2.3163,2.95663,3.32125,0.0018152,0.0018152,0.0018152
16,48.6119,1.89215,2.15771,2.77687,0.56403,0.60176,0.59477,0.43269,2.1749,3.003,3.12303,0.001802,0.001802,0.001802
17,72.8481,1.83205,2.03262,2.7502,0.71356,0.60465,0.64797,0.47094,2.23251,2.49881,3.34244,0.0017888,0.0017888,0.0017888
18,97.5127,1.77903,1.97523,2.70392,0.61197,0.62354,0.65098,0.49342,2.0842,2.46728,3.03139,0.0017756,0.0017756,0.0017756
19,123.467,1.85272,1.99968,2.73414,0.78414,0.54651,0.68766,0.487,2.12819,2.7684,3.10615,0.0017624,0.0017624,0.0017624
20,147.573,1.75943,1.95418,2.67729,0.76516,0.60619,0.72326,0.52104,2.06577,2.20704,3.14704,0.0017492,0.0017492,0.0017492
21,172.732,1.74091,1.84558,2.67165,0.90279,0.59302,0.68586,0.47915,2.30479,2.53345,3.45713,0.001736,0.001736,0.001736
22,196.926,1.76179,1.87453,2.65127,0.69814,0.65116,0.70559,0.53185,2.08856,2.36645,3.12011,0.0017228,0.0017228,0.0017228
23,221.99,1.74096,1.89294,2.65411,0.77136,0.54651,0.67716,0.48523,2.12724,2.47997,3.22211,0.0017096,0.0017096,0.0017096
24,246.158,1.71319,1.86589,2.62565,0.7753,0.61628,0.71018,0.51878,1.9912,2.55262,3.05375,0.0016964,0.0016964,0.0016964
25,270.542,1.62174,1.76333,2.58098,0.82539,0.5814,0.71238,0.53094,1.93031,2.24441,2.88236,0.0016832,0.0016832,0.0016832
26,294.692,1.67973,1.78795,2.60854,0.74592,0.58034,0.6683,0.49667,2.07492,2.54521,3.01989,0.00167,0.00167,0.00167
27,319.142,1.6431,1.7809,2.57861,0.72167,0.61628,0.69184,0.50182,2.10013,2.41964,3.11259,0.0016568,0.0016568,0.0016568
28,343.544,1.642,1.72745,2.57984,0.70872,0.59415,0.68813,0.51839,1.88886,2.35513,2.86534,0.0016436,0.0016436,0.0016436
29,367.94,1.64761,1.77338,2.57523,0.76369,0.60128,0.66708,0.47284,2.23532,2.60109,3.35211,0.0016304,0.0016304,0.0016304
30,392.309,1.63025,1.69298,2.56027,0.91236,0.60527,0.74236,0.52181,2.05879,2.23765,3.17648,0.0016172,0.0016172,0.0016172
31,24.3494,1.60603,1.71657,2.56157,0.819,0.54651,0.67502,0.45384,2.27614,2.52925,3.51177,0.001604,0.001604,0.001604
32,48.7974,1.55108,1.61151,2.50275,0.8314,0.57344,0.72566,0.52204,2.00969,2.2808,3.08793,0.0015908,0.0015908,0.0015908
33,73.0359,1.52001,1.56914,2.50342,0.79696,0.60465,0.68678,0.48577,2.20474,2.47951,3.33032,0.0015776,0.0015776,0.0015776
34,97.3367,1.5276,1.56944,2.50565,0.72551,0.7093,0.71718,0.55614,1.83622,2.23639,2.84863,0.0015644,0.0015644,0.0015644
35,122.665,1.53775,1.60182,2.50355,0.71714,0.65116,0.67859,0.50033,2.03267,2.65836,3.04168,0.0015512,0.0015512,0.0015512
36,147.102,1.49549,1.55682,2.47926,0.77799,0.61126,0.7098,0.53051,2.01191,2.31175,3.09346,0.001538,0.001538,0.001538
37,171.422,1.45112,1.50457,2.45087,0.77021,0.62791,0.72539,0.55806,1.81632,2.19339,2.87593,0.0015248,0.0015248,0.0015248
38,196.289,1.45503,1.46583,2.43137,0.70686,0.65116,0.69803,0.53857,1.71706,2.36479,2.75169,0.0015116,0.0015116,0.0015116
39,220.636,1.45553,1.50213,2.44284,0.69184,0.66279,0.69167,0.53621,1.85862,2.37642,2.84857,0.0014984,0.0014984,0.0014984
40,24.7968,1.44557,1.48625,2.43521,0.72233,0.7093,0.69645,0.50898,1.97697,2.71698,3.04729,0.0014852,0.0014852,0.0014852
41,49.6297,1.40872,1.40705,2.40419,0.74896,0.66279,0.71672,0.5499,1.87569,2.14142,2.86646,0.001472,0.001472,0.001472
