epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.7331,0.99958,1.5169,1.47162,0.26887,0.36047,0.22051,0.07748,2.12407,4.64636,2.75141,0.000660767,0.000660767,0.000660767
2,101.768,1.16014,1.35884,1.58384,0.09803,0.16279,0.06817,0.026,2.19078,8.02618,2.87661,0.00131429,0.00131429,0.00131429
3,150.201,1.20593,1.38068,1.62541,0.70325,0.38372,0.48165,0.24027,1.80135,2.02814,2.37735,0.00195462,0.00195462,0.00195462
4,196.986,1.18972,1.39805,1.62017,0.76862,0.44186,0.52057,0.31984,1.47353,2.13636,2.25667,0.0019406,0.0019406,0.0019406
5,245.498,1.1436,1.29651,1.57948,0.44836,0.50091,0.4662,0.26233,1.48245,2.31719,2.00799,0.0019208,0.0019208,0.0019208
6,291.662,1.07668,1.20662,1.52015,0.81096,0.45349,0.55612,0.34508,1.36256,1.64439,1.92468,0.001901,0.001901,0.001901
7,338.914,1.0376,1.19242,1.49549,0.71121,0.5,0.57157,0.37787,1.28831,1.70617,1.85832,0.0018812,0.0018812,0.0018812
8,387.103,1.00578,1.14861,1.47586,0.76805,0.5,0.61564,0.40611,1.23601,1.4646,1.79448,0.0018614,0.0018614,0.0018614
9,434.395,0.96574,1.07809,1.44453,0.80232,0.53488,0.65972,0.43922,1.13766,1.26667,1.75353,0.0018416,0.0018416,0.0018416
10,481.437,0.91992,1.04889,1.41263,0.72594,0.53488,0.59938,0.39868,1.27046,1.51061,1.83867,0.0018218,0.0018218,0.0018218
11,528.498,0.91856,1.04696,1.41039,0.80828,0.60465,0.67586,0.48291,1.08502,1.29566,1.61298,0.001802,0.001802,0.001802
12,574.791,0.92039,1.04615,1.411,0.85351,0.6098,0.71508,0.49817,1.01702,1.1405,1.59286,0.0017822,0.0017822,0.0017822
13,621.987,0.882,0.98524,1.38114,0.66355,0.65116,0.6569,0.48402,1.06183,1.2537,1.64056,0.0017624,0.0017624,0.0017624
14,668.835,0.87088,0.97695,1.37062,0.82675,0.61042,0.6867,0.46338,1.167,1.22382,1.8252,0.0017426,0.0017426,0.0017426
15,714.567,0.85266,0.94066,1.35712,0.70943,0.59302,0.6795,0.45876,1.11411,1.23737,1.65128,0.0017228,0.0017228,0.0017228
16,760.555,0.83765,0.9319,1.33801,0.69357,0.60465,0.65433,0.44314,1.12246,1.29065,1.64944,0.001703,0.001703,0.001703
17,808.514,0.83061,0.90425,1.33384,0.84956,0.61628,0.69535,0.46383,1.17822,1.18998,1.78775,0.0016832,0.0016832,0.0016832
18,854.989,0.79336,0.86822,1.30095,0.70912,0.59302,0.59835,0.44267,1.02914,1.29245,1.54874,0.0016634,0.0016634,0.0016634
19,901.145,0.79864,0.87134,1.30814,0.68281,0.63953,0.64852,0.42962,1.16621,1.297,1.83042,0.0016436,0.0016436,0.0016436
20,949.087,0.79732,0.84996,1.30983,0.74624,0.59302,0.68599,0.48464,1.02223,1.17919,1.57285,0.0016238,0.0016238,0.0016238
21,994.864,0.77756,0.83567,1.28869,0.81975,0.58171,0.69554,0.48473,1.02114,1.22439,1.60637,0.001604,0.001604,0.001604
22,1041.78,0.75875,0.81194,1.2877,0.67713,0.67442,0.68751,0.47312,0.99764,1.18427,1.56171,0.0015842,0.0015842,0.0015842
23,1088.82,0.76616,0.79946,1.28815,0.85299,0.52326,0.65572,0.48366,0.92975,1.17789,1.46074,0.0015644,0.0015644,0.0015644
24,1135.29,0.74092,0.79527,1.27242,0.68083,0.62013,0.6453,0.46851,0.97861,1.2244,1.51639,0.0015446,0.0015446,0.0015446
25,1182.48,0.7326,0.78275,1.25951,0.6945,0.68605,0.72429,0.51191,1.00779,1.13635,1.59654,0.0015248,0.0015248,0.0015248
26,1231.07,0.74188,0.77092,1.26309,0.68475,0.62791,0.62411,0.44794,1.02632,1.19831,1.67137,0.001505,0.001505,0.001505
27,1278.25,0.71451,0.74399,1.24284,0.84144,0.62791,0.6986,0.49846,0.88661,1.14624,1.44238,0.0014852,0.0014852,0.0014852
28,1326.79,0.71587,0.75148,1.2469,0.86316,0.5868,0.69534,0.47595,0.94818,1.25732,1.52702,0.0014654,0.0014654,0.0014654
29,1373.78,0.70961,0.72496,1.23825,0.86926,0.5814,0.71081,0.51672,0.97637,1.10808,1.54647,0.0014456,0.0014456,0.0014456
30,1421.15,0.7005,0.71867,1.23158,0.78203,0.5814,0.69404,0.54239,0.87705,1.14774,1.421,0.0014258,0.0014258,0.0014258
31,1468.47,0.6834,0.70312,1.22068,0.82348,0.60465,0.67383,0.51193,0.96201,1.14813,1.4965,0.001406,0.001406,0.001406
32,1516.6,0.67839,0.6873,1.20793,0.81529,0.56461,0.65954,0.48779,0.95194,1.24616,1.53595,0.0013862,0.0013862,0.0013862
33,1563.76,0.66264,0.67072,1.20542,0.69951,0.59302,0.62975,0.48004,0.95235,1.1736,1.46466,0.0013664,0.0013664,0.0013664
34,1612.56,0.66455,0.66902,1.20412,0.72746,0.63953,0.66301,0.47307,0.9698,1.15887,1.5924,0.0013466,0.0013466,0.0013466
35,1659.79,0.65461,0.64763,1.19266,0.84164,0.56977,0.67592,0.48648,1.01097,1.20523,1.6152,0.0013268,0.0013268,0.0013268
36,1708.03,0.64798,0.64557,1.19599,0.78306,0.62961,0.71559,0.52512,0.95333,1.10184,1.5535,0.001307,0.001307,0.001307
37,1755.53,0.65252,0.65463,1.19705,0.86447,0.55814,0.65485,0.48241,1.04423,1.17131,1.66597,0.0012872,0.0012872,0.0012872
38,1803,0.62977,0.6216,1.17668,0.74584,0.64834,0.65282,0.46372,0.99431,1.29246,1.61659,0.0012674,0.0012674,0.0012674
39,1851.56,0.63362,0.61477,1.1802,0.72703,0.65116,0.67993,0.49219,0.99196,1.16462,1.61381,0.0012476,0.0012476,0.0012476
40,1898.98,0.61694,0.6034,1.16093,0.77806,0.68605,0.72415,0.54453,0.89257,1.05238,1.49951,0.0012278,0.0012278,0.0012278
